id,weight
aa,71
ab,25
ac,75
ad,10
ae,19
af,62
ag,94
ah,7
ai,7
aj,67
ak,87
al,76
am,83
an,12
ao,57
ap,5
aq,10
ar,42
as,88
at,99
au,39
av,97
aw,1
ax,26
ay,63
az,56
aA,37
aB,25
aC,9
aD,33
aE,32
aF,90
aG,35
aH,95
aI,90
aJ,73
aK,5
aL,93
aM,72
aN,100
aO,3
aP,25
aQ,63
aR,7
aS,46
aT,95
aU,64
aV,66
aW,71
aX,33
aY,10
aZ,9
ba,6
bb,22
bc,89
bd,9
be,59
bf,6
bg,97
bh,21
bi,12
bj,8
bk,87
bl,35
bm,55
bn,14
bo,3
bp,59
bq,91
br,1
bs,85
bt,30
bu,16
bv,20
bw,25
bx,15
by,13
bz,99
bA,15
bB,29
bC,47
bD,47
bE,12
bF,29
bG,42
bH,96
bI,20
bJ,60
bK,29
bL,50
bM,42
bN,70
bO,67
bP,43
bQ,66
bR,1
bS,81
bT,70
bU,54
bV,65
