i,id,weight,cost
0,ak,87,35
0,bn,14,35
0,an,12,35
0,aN,100,35
0,bA,15,35
0,af,62,35
0,ag,94,35
0,bC,47,35
0,bp,59,35
0,aZ,9,35
0,bL,50,35
0,bs,85,35
0,bT,70,35
0,ai,7,35
0,aC,9,35
0,bx,15,35
0,bw,25,35
0,bu,16,35
0,aB,25,35
0,aF,90,35
0,bB,29,35
0,bK,29,35
0,ae,19,35
0,as,88,35
0,br,1,35
0,aK,5,35
0,aX,33,35
0,bH,96,35
0,bQ,66,35
0,bI,20,35
0,aG,35,35
0,ac,75,35
0,bS,81,35
0,bd,9,35
0,bV,65,35
0,bG,42,35
0,am,83,35
0,bO,67,35
1,ba,6,17
1,aA,37,17
1,bP,43,17
1,aH,95,17
1,aw,1,17
1,ag,94,17
1,aZ,9,17
1,bs,85,17
1,bT,70,17
1,ay,63,17
1,bw,25,17
1,aF,90,17
1,bq,91,17
1,ae,19,17
1,bz,99,17
1,bo,3,17
1,bF,29,17
1,bb,22,17
1,aG,35,17
1,bI,20,17
1,ao,57,17
1,bi,12,17
1,aW,71,17
1,by,13,17
1,am,83,17
1,bO,67,17
1,aE,32,17
2,ak,87,6
2,aA,37,6
2,bP,43,6
2,bn,14,6
2,an,12,6
2,aN,100,6
2,af,62,6
2,bL,50,6
2,ap,5,6
2,bT,70,6
2,bM,42,6
2,ab,25,6
2,bw,25,6
2,bu,16,6
2,aF,90,6
2,bB,29,6
2,bN,70,6
2,bq,91,6
2,bK,29,6
2,aM,72,6
2,au,39,6
2,ae,19,6
2,as,88,6
2,aD,33,6
2,br,1,6
2,at,99,6
2,aj,67,6
2,aY,10,6
2,bF,29,6
2,bb,22,6
2,bH,96,6
2,aG,35,6
2,bI,20,6
2,bc,89,6
2,al,76,6
2,aW,71,6
2,bS,81,6
2,bh,21,6
2,bD,47,6
2,av,97,6
2,aq,10,6
2,bj,8,6
2,bd,9,6
2,bO,67,6
3,bm,55,53
3,aH,95,53
3,aS,46,53
3,aN,100,53
3,ag,94,53
3,aV,66,53
3,ad,10,53
3,bL,50,53
3,aJ,73,53
3,bw,25,53
3,bu,16,53
3,aB,25,53
3,aF,90,53
3,ar,42,53
3,bN,70,53
3,bK,29,53
3,aM,72,53
3,as,88,53
3,aD,33,53
3,at,99,53
3,aK,5,53
3,bv,20,53
3,br,1,53
3,bE,12,53
3,bz,99,53
3,aj,67,53
3,bo,3,53
3,aY,10,53
3,ax,26,53
3,aX,33,53
3,bb,22,53
3,bQ,66,53
3,bc,89,53
3,aa,71,53
3,aL,93,53
3,av,97,53
3,aI,90,53
3,bG,42,53
3,aP,25,53
3,bO,67,53
3,aE,32,53
4,ba,6,86
4,bP,43,86
4,aH,95,86
4,bn,14,86
4,an,12,86
4,ag,94,86
4,bC,47,86
4,aU,64,86
4,aZ,9,86
4,aR,7,86
4,bs,85,86
4,bM,42,86
4,aJ,73,86
4,bw,25,86
4,bu,16,86
4,bl,35,86
4,aF,90,86
4,bN,70,86
4,bK,29,86
4,aM,72,86
4,au,39,86
4,ae,19,86
4,aK,5,86
4,ah,7,86
4,bE,12,86
4,bz,99,86
4,aj,67,86
4,aQ,63,86
4,bo,3,86
4,bH,96,86
4,bI,20,86
4,bQ,66,86
4,aW,71,86
4,aL,93,86
4,aO,3,86
4,bh,21,86
4,be,59,86
4,bD,47,86
4,aq,10,86
4,aT,95,86
4,bO,67,86
5,aA,37,76
5,aS,46,76
5,bA,15,76
5,bL,50,76
5,bx,15,76
5,aJ,73,76
5,bu,16,76
5,aB,25,76
5,aF,90,76
5,bK,29,76
5,ae,19,76
5,as,88,76
5,aD,33,76
5,bJ,60,76
5,bz,99,76
5,bo,3,76
5,aX,33,76
5,bF,29,76
5,aG,35,76
5,ac,75,76
5,bc,89,76
5,bi,12,76
5,al,76,76
5,aa,71,76
5,aL,93,76
5,bj,8,76
5,aP,25,76
6,aN,100,40
6,aw,1,40
6,aV,66,40
6,bp,59,40
6,bL,50,40
6,aR,7,40
6,bx,15,40
6,bu,16,40
6,aF,90,40
6,bN,70,40
6,aM,72,40
6,bJ,60,40
6,aY,10,40
6,bf,6,40
6,bb,22,40
6,bQ,66,40
6,ao,57,40
6,by,13,40
6,bS,81,40
6,aa,71,40
6,aW,71,40
6,bD,47,40
6,av,97,40
6,bO,67,40
7,ba,6,12
7,bm,55,12
7,aH,95,12
7,aN,100,12
