i,id,weight,cost
0,bP,43,11
0,bm,55,11
0,aS,46,11
0,aN,100,11
0,af,62,11
0,aV,66,11
0,bC,47,11
0,bp,59,11
0,bL,50,11
0,aR,7,11
0,bs,85,11
0,bM,42,11
0,ai,7,11
0,aC,9,11
0,bw,25,11
0,bl,35,11
0,aF,90,11
0,bN,70,11
0,bK,29,11
0,as,88,11
0,at,99,11
0,bJ,60,11
0,br,1,11
0,bv,20,11
0,bz,99,11
0,ax,26,11
0,bf,6,11
0,aX,33,11
0,bb,22,11
0,bt,30,11
0,bH,96,11
0,ac,75,11
0,bc,89,11
0,ao,57,11
0,by,13,11
0,aW,71,11
0,aL,93,11
0,bh,21,11
0,bD,47,11
0,be,59,11
0,aT,95,11
0,aI,90,11
1,bp,59,9
1,aZ,9,9
1,ap,5,9
1,bM,42,9
1,bm,55,9
1,be,59,9
1,bw,25,9
1,bo,3,9
1,bj,8,9
1,bl,35,9
1,aY,10,9
1,bq,91,9
1,aE,32,9
2,aU,64,20
2,bp,59,20
2,bv,20,20
2,aZ,9,20
2,bL,50,20
2,bs,85,20
2,aB,25,20
2,bd,9,20
2,aV,66,20
2,bV,65,20
2,bg,97,20
2,aM,72,20
2,af,62,20
2,bt,30,20
2,as,88,20
3,aU,64,71
3,bi,12,71
3,al,76,71
3,aR,7,71
3,aa,71,71
3,bS,81,71
3,bR,1,71
3,ay,63,71
3,aH,95,71
3,bz,99,71
3,aQ,63,71
3,bV,65,71
3,bF,29,71
3,ag,94,71
3,bH,96,71
3,bI,20,71
3,ac,75,71
3,aI,90,71
4,ak,87,77
4,bP,43,77
4,bm,55,77
4,aH,95,77
4,aS,46,77
4,aV,66,77
4,az,56,77
4,bp,59,77
4,bC,47,77
4,aR,7,77
4,ay,63,77
4,aC,9,77
4,ai,7,77
4,bM,42,77
4,ab,25,77
4,aJ,73,77
4,bu,16,77
4,bl,35,77
4,aF,90,77
4,bq,91,77
4,ae,19,77
4,aD,33,77
4,br,1,77
4,ah,7,77
4,bE,12,77
4,aj,67,77
4,aQ,63,77
4,aY,10,77
4,ax,26,77
4,aX,33,77
4,bg,97,77
4,bF,29,77
4,bt,30,77
4,bc,89,77
4,ao,57,77
4,bi,12,77
4,aL,93,77
4,bD,47,77
4,av,97,77
4,bj,8,77
4,bV,65,77
4,bG,42,77
4,aE,32,77
5,at,99,98
5,bJ,60,98
5,aW,71,98
5,bx,15,98
5,ab,25,98
5,bD,47,98
5,bE,12,98
5,bo,3,98
5,ar,42,98
5,ax,26,98
5,bN,70,98
5,bV,65,98
5,bq,91,98
5,bA,15,98
5,bc,89,98
6,bP,43,8
6,aS,46,8
6,aw,1,8
6,aV,66,8
6,az,56,8
6,bp,59,8
6,aR,7,8
6,bs,85,8
6,bx,15,8
6,aC,9,8
6,ar,42,8
6,bN,70,8
6,bJ,60,8
6,bv,20,8
6,aK,5,8
6,bk,87,8
6,bE,12,8
6,aj,67,8
6,aY,10,8
6,bf,6,8
6,aX,33,8
6,bt,30,8
6,bH,96,8
6,bc,89,8
6,ao,57,8
6,al,76,8
6,aL,93,8
6,bj,8,8
7,aH,95,43
7,bA,15,43
7,aR,7,43
7,bM,42,43
7,bx,15,43
7,aJ,73,43
7,aF,90,43
7,aM,72,43
7,aD,33,43
7,bv,20,43
7,bJ,60,43
7,aY,10,43
7,bg,97,43
7,bH,96,43
7,bc,89,43
7,al,76,43
7,aO,3,43
7,bD,47,43
7,bV,65,43
7,aE,32,43
8,ak,87,9
8,bn,14,9
8,aS,46,9
8,bA,15,9
8,az,56,9
8,ad,10,9
8,bC,47,9
8,aZ,9,9
8,aR,7,9
8,bT,70,9
8,bx,15,9
8,aC,9,9
8,aJ,73,9
8,bw,25,9
8,bl,35,9
8,ar,42,9
8,bN,70,9
8,au,39,9
8,ae,19,9
8,aD,33,9
8,at,99,9
8,bv,20,9
8,bR,1,9
8,bk,87,9
8,bE,12,9
8,bz,99,9
8,aj,67,9
8,bo,3,9
8,aY,10,9
8,ax,26,9
8,aX,33,9
8,bg,97,9
8,bb,22,9
8,bt,30,9
8,bI,20,9
8,aG,35,9
8,bQ,66,9
8,ao,57,9
8,bS,81,9
8,aa,71,9
8,aT,95,9
8,aI,90,9
8,bd,9,9
8,aE,32,9
9,ao,57,28
9,ap,5,28
9,aE,32,28
9,bM,42,28
9,bm,55,28
9,bk,87,28
9,bE,12,28
9,aQ,63,28
9,bn,14,28
9,bd,9,28
9,aX,33,28
9,bA,15,28
9,bO,67,28
9,ae,19,28
9,ay,63,28
10,aA,37,41
10,bm,55,41
10,aw,1,41
10,aV,66,41
10,aU,64,41
10,aZ,9,41
10,ap,5,41
10,bL,50,41
10,aR,7,41
10,ay,63,41
10,aC,9,41
10,ab,25,41
10,aF,90,41
10,ar,42,41
10,bB,29,41
10,au,39,41
10,aM,72,41
10,ae,19,41
10,bU,54,41
10,aD,33,41
10,br,1,41
10,bR,1,41
10,ah,7,41
10,bk,87,41
10,bo,3,41
10,aQ,63,41
10,bf,6,41
10,aX,33,41
10,bg,97,41
10,bF,29,41
10,bt,30,41
10,bH,96,41
10,ac,75,41
10,bI,20,41
10,bc,89,41
10,aG,35,41
10,al,76,41
10,bS,81,41
10,aa,71,41
10,aO,3,41
10,bh,21,41
10,be,59,41
10,av,97,41
10,aq,10,41
10,aT,95,41
10,bV,65,41
10,bG,42,41
10,aP,25,41
10,aE,32,41
11,ak,87,52
11,bP,43,52
11,aS,46,52
11,aw,1,52
11,bA,15,52
11,af,62,52
11,aV,66,52
11,ag,94,52
11,az,56,52
11,aU,64,52
11,bp,59,52
11,bL,50,52
11,aR,7,52
11,ap,5,52
11,ai,7,52
11,bx,15,52
11,ab,25,52
11,aJ,73,52
11,bw,25,52
11,bl,35,52
11,aF,90,52
11,bN,70,52
11,bq,91,52
11,au,39,52
11,ae,19,52
11,as,88,52
11,aD,33,52
11,bv,20,52
11,aK,5,52
11,bR,1,52
11,bz,99,52
11,aj,67,52
11,bo,3,52
11,bf,6,52
11,bb,22,52
11,bH,96,52
11,bI,20,52
11,bc,89,52
11,bi,12,52
11,al,76,52
11,bS,81,52
11,aL,93,52
11,be,59,52
11,bj,8,52
11,aT,95,52
11,aP,25,52
11,ay,63,52
12,ao,57,58
12,bJ,60,58
12,aA,37,58
12,aa,71,58
12,aL,93,58
12,bx,15,58
12,bP,43,58
12,bE,12,58
12,bc,89,58
12,bV,65,58
12,bA,15,58
12,bH,96,58
12,bt,30,58
12,aE,32,58
12,as,88,58
13,bP,43,17
13,bm,55,17
13,an,12,17
13,aw,1,17
13,af,62,17
13,ad,10,17
13,aU,64,17
13,bp,59,17
13,aR,7,17
13,bu,16,17
13,bN,70,17
13,ae,19,17
13,as,88,17
13,aD,33,17
13,bv,20,17
13,aj,67,17
13,ax,26,17
13,bf,6,17
13,bg,97,17
13,bH,96,17
13,ac,75,17
13,ao,57,17
13,bi,12,17
13,aW,71,17
13,bS,81,17
13,aO,3,17
13,bD,47,17
13,bj,8,17
13,aT,95,17
14,ak,87,89
14,aH,95,89
14,bn,14,89
14,af,62,89
14,aV,66,89
14,ad,10,89
14,bC,47,89
14,aR,7,89
14,ay,63,89
14,bx,15,89
14,ai,7,89
14,bM,42,89
14,aJ,73,89
14,bu,16,89
14,ar,42,89
14,bq,91,89
14,aM,72,89
14,ae,19,89
14,bU,54,89
14,bJ,60,89
14,br,1,89
14,ah,7,89
14,bk,87,89
14,bE,12,89
14,aY,10,89
14,aX,33,89
14,bg,97,89
14,bQ,66,89
14,aG,35,89
14,bi,12,89
14,by,13,89
14,aO,3,89
14,bj,8,89
14,aT,95,89
14,bd,9,89
14,bG,42,89
14,am,83,89
14,aE,32,89
15,bC,47,57
15,aN,100,57
15,bT,70,57
15,as,88,57
15,av,97,57
15,bw,25,57
15,aq,10,57
15,bq,91,57
15,aV,66,57
15,ad,10,57
15,aE,32,57
16,ak,87,88
16,aN,100,88
16,aw,1,88
16,ag,94,88
16,bC,47,88
16,aU,64,88
16,aZ,9,88
16,ap,5,88
16,bT,70,88
16,ab,25,88
16,bl,35,88
16,aB,25,88
16,bB,29,88
16,bU,54,88
16,at,99,88
16,bR,1,88
16,bk,87,88
16,aY,10,88
16,bf,6,88
16,ax,26,88
16,aX,33,88
16,aG,35,88
16,aa,71,88
16,aO,3,88
16,aq,10,88
16,bd,9,88
16,bV,65,88
16,bG,42,88
17,ba,6,75
17,bP,43,75
17,aN,100,75
17,ag,94,75
17,af,62,75
17,az,56,75
17,aZ,9,75
17,bL,50,75
17,aR,7,75
17,bT,70,75
17,bM,42,75
17,bu,16,75
17,aB,25,75
17,ar,42,75
17,aF,90,75
17,bN,70,75
17,aD,33,75
17,br,1,75
17,bv,20,75
17,bJ,60,75
17,bR,1,75
17,bk,87,75
17,bz,99,75
17,aj,67,75
17,aQ,63,75
17,bg,97,75
17,bt,30,75
17,bI,20,75
17,ac,75,75
17,bi,12,75
17,by,13,75
17,bS,81,75
17,bD,47,75
17,aP,25,75
17,bO,67,75
18,bC,47,42
18,al,76,42
18,be,59,42
18,bE,12,42
18,bw,25,42
18,aF,90,42
18,ax,26,42
18,aY,10,42
18,bV,65,42
18,aV,66,42
18,bq,91,42
18,bt,30,42
18,aG,35,42
18,ae,19,42
18,az,56,42
18,aE,32,42
19,ba,6,62
19,bm,55,62
19,bn,14,62
19,aS,46,62
19,ad,10,62
19,bC,47,62
19,bL,50,62
19,aR,7,62
19,bT,70,62
19,bx,15,62
19,ay,63,62
19,bl,35,62
19,aB,25,62
19,aF,90,62
19,bu,16,62
19,bB,29,62
19,bK,29,62
19,as,88,62
19,bU,54,62
19,bJ,60,62
19,bv,20,62
19,aj,67,62
19,bo,3,62
19,aY,10,62
19,bQ,66,62
19,bI,20,62
19,bc,89,62
19,ao,57,62
19,al,76,62
19,aO,3,62
19,bD,47,62
19,aq,10,62
19,bV,65,62
19,bG,42,62
19,aP,25,62
19,bO,67,62
19,aE,32,62
20,at,99,19
20,br,1,19
20,al,76,19
20,aR,7,19
20,aW,71,19
20,aa,71,19
20,bm,55,19
20,bD,47,19
20,bE,12,19
20,bz,99,19
20,bo,3,19
20,aQ,63,19
20,aV,66,19
20,bt,30,19
20,bO,67,19
20,bc,89,19
21,ba,6,62
21,bm,55,62
21,aH,95,62
21,an,12,62
21,aN,100,62
21,bA,15,62
21,aw,1,62
21,aU,64,62
21,aR,7,62
21,aC,9,62
21,ab,25,62
21,bw,25,62
21,aB,25,62
21,ar,42,62
21,bN,70,62
21,as,88,62
21,aD,33,62
21,bU,54,62
21,at,99,62
21,ah,7,62
21,bo,3,62
21,aQ,63,62
21,ax,26,62
21,bg,97,62
21,bF,29,62
21,aG,35,62
21,ac,75,62
21,bI,20,62
21,bi,12,62
21,aa,71,62
21,aL,93,62
21,aO,3,62
21,bD,47,62
21,av,97,62
21,aT,95,62
21,bV,65,62
21,am,83,62
21,aI,90,62
22,bm,55,28
22,aH,95,28
22,bn,14,28
22,an,12,28
22,aN,100,28
22,aE,32,28
22,bL,50,28
22,bs,85,28
22,ai,7,28
22,bM,42,28
22,ab,25,28
22,aF,90,28
22,bN,70,28
22,bq,91,28
22,ae,19,28
22,br,1,28
22,at,99,28
22,bR,1,28
22,ah,7,28
22,aQ,63,28
22,ax,26,28
22,bQ,66,28
22,bI,20,28
22,aa,71,28
22,bd,9,28
22,aI,90,28
23,aA,37,81
23,bm,55,81
23,aH,95,81
23,bn,14,81
23,aS,46,81
23,an,12,81
23,aN,100,81
23,aw,1,81
23,aV,66,81
23,ad,10,81
23,aE,32,81
23,bC,47,81
23,aU,64,81
23,aZ,9,81
23,bT,70,81
23,bM,42,81
23,bw,25,81
23,bq,91,81
23,aM,72,81
23,bU,54,81
23,as,88,81
23,bJ,60,81
23,at,99,81
23,br,1,81
23,bv,20,81
23,bR,1,81
23,ah,7,81
23,bE,12,81
23,bz,99,81
23,aY,10,81
23,bf,6,81
23,aX,33,81
23,bg,97,81
23,bb,22,81
23,aG,35,81
23,ac,75,81
23,bc,89,81
23,ao,57,81
23,by,13,81
23,aL,93,81
23,aO,3,81
23,bh,21,81
23,bD,47,81
23,av,97,81
23,aq,10,81
23,aT,95,81
23,aI,90,81
23,am,83,81
23,bO,67,81
23,ay,63,81
24,aD,33,82
24,bC,47,82
24,bi,12,82
24,bk,87,82
24,aH,95,82
24,aJ,73,82
24,av,97,82
24,bw,25,82
24,aN,100,82
24,aw,1,82
24,bO,67,82
25,ao,57,57
25,ac,75,57
25,al,76,57
25,aa,71,57
25,aL,93,57
25,bk,87,57
25,aH,95,57
25,aJ,73,57
25,aq,10,57
25,bu,16,57
25,bF,29,57
25,bA,15,57
25,au,39,57
25,ae,19,57
25,aE,32,57
26,ba,6,52
26,aA,37,52
26,bP,43,52
26,bm,55,52
26,aH,95,52
26,aS,46,52
26,af,62,52
26,ag,94,52
26,aV,66,52
26,az,56,52
26,ad,10,52
26,aU,64,52
26,aZ,9,52
26,ap,5,52
26,bT,70,52
26,bM,42,52
26,ab,25,52
26,aJ,73,52
26,bl,35,52
26,au,39,52
26,as,88,52
26,aD,33,52
26,bU,54,52
26,bJ,60,52
26,at,99,52
26,ah,7,52
26,bo,3,52
26,aQ,63,52
26,ax,26,52
26,aY,10,52
