i,id,weight,cost
0,aA,37,4836
0,bB,29,4836
0,aI,90,4836
0,aE,32,4836
0,aW,71,4836
0,bg,97,4836
0,bV,65,4836
0,aS,46,4836
0,am,83,4836
0,az,56,4836
0,bS,81,4836
0,aK,5,4836
0,ag,94,4836
0,ab,25,4836
0,bi,12,4836
0,ad,10,4836
0,bT,70,4836
0,bj,8,4836
0,bo,3,4836
0,bu,16,4836
0,bp,59,4836
0,be,59,4836
0,bE,12,4836
0,bU,54,4836
0,aH,95,4836
1,bA,15,3466
1,aA,37,3466
1,au,39,3466
1,ae,19,3466
1,aM,72,3466
1,aC,9,3466
1,ay,63,3466
1,aa,71,3466
1,aJ,73,3466
1,bs,85,3466
1,bV,65,3466
1,bN,70,3466
1,aP,25,3466
1,bQ,66,3466
1,bf,6,3466
1,bD,47,3466
1,ax,26,3466
1,ag,94,3466
1,ar,42,3466
1,aG,35,3466
1,bz,99,3466
1,bP,43,3466
1,aN,100,3466
1,bi,12,3466
1,ad,10,3466
1,an,12,3466
1,bw,25,3466
1,br,1,3466
1,bk,87,3466
1,bH,96,3466
1,bp,59,3466
1,bl,35,3466
1,bE,12,3466
1,bm,55,3466
1,aD,33,3466
1,aH,95,3466
2,aT,95,1027
2,bK,29,1027
2,aI,90,1027
2,ay,63,1027
2,ap,5,1027
2,bq,91,1027
2,ba,6,1027
2,aS,46,1027
2,aZ,9,1027
2,am,83,1027
2,aP,25,1027
2,aQ,63,1027
2,ax,26,1027
2,bO,67,1027
2,ab,25,1027
2,ah,7,1027
2,an,12,1027
2,aO,3,1027
2,bw,25,1027
2,bj,8,1027
2,bo,3,1027
2,bu,16,1027
2,bp,59,1027
2,al,76,1027
2,aH,95,1027
3,aT,95,6540
3,aL,93,6540
3,aM,72,6540
3,ae,19,6540
3,aC,9,6540
3,aI,90,6540
3,bc,89,6540
3,bs,85,6540
3,aQ,63,6540
3,ar,42,6540
3,aG,35,6540
3,aj,67,6540
3,bi,12,6540
3,aR,7,6540
3,bT,70,6540
3,aY,10,6540
3,bG,42,6540
3,bb,22,6540
3,bI,20,6540
3,bu,16,6540
3,bl,35,6540
3,al,76,6540
3,ai,7,6540
3,bn,14,6540
4,aT,95,19692
4,aq,10,19692
4,au,39,19692
4,ae,19,19692
4,aM,72,19692
4,aC,9,19692
4,aE,32,19692
4,aF,90,19692
4,ay,63,19692
4,aJ,73,19692
4,bV,65,19692
4,ba,6,19692
4,bJ,60,19692
4,az,56,19692
4,bS,81,19692
4,av,97,19692
4,aw,1,19692
4,bf,6,19692
4,aQ,63,19692
4,bD,47,19692
4,ag,94,19692
4,ar,42,19692
4,aB,25,19692
4,aG,35,19692
4,bz,99,19692
4,bP,43,19692
4,bv,20,19692
4,aj,67,19692
4,bi,12,19692
4,ad,10,19692
4,bh,21,19692
4,bx,15,19692
4,bT,70,19692
4,aO,3,19692
4,ac,75,19692
4,bw,25,19692
4,bG,42,19692
4,bI,20,19692
4,bH,96,19692
4,at,99,19692
4,bp,59,19692
4,bC,47,19692
4,al,76,19692
4,aH,95,19692
4,bn,14,19692
5,bt,30,13368
5,bM,42,13368
5,bB,29,13368
5,aU,64,13368
5,aI,90,13368
5,bg,97,13368
5,aa,71,13368
5,bq,91,13368
5,bs,85,13368
5,ba,6,13368
5,as,88,13368
5,az,56,13368
5,bR,1,13368
5,av,97,13368
5,aw,1,13368
5,bD,47,13368
5,aG,35,13368
5,bz,99,13368
5,aX,33,13368
5,bP,43,13368
5,bv,20,13368
5,ak,87,13368
5,ah,7,13368
5,aV,66,13368
5,br,1,13368
5,bo,3,13368
5,at,99,13368
5,be,59,13368
5,bl,35,13368
5,bm,55,13368
5,bC,47,13368
5,bU,54,13368
